,Brand,RAM,Processor,Battery,Rear Camera,Front Camera,Display,Launch Date,Operating System,Fabrication,Graphics,Display Type,Pixel Density,Refresh Rate,Quick Charging,USB Type-C,Internal Memory,Expandable Memory,Audio Jack,SIM Slot(s),Fingerprint Sensor,Price
0,OnePlus,8,Qualcomm,5000,108,16,6.5,2023,Android,6,Adreno,LCD,350,120,Yes,Yes,128,Yes,Yes,2,Yes,20000
1,realme,6,MediaTek,5000,108,16,6.5,2022,Android,6,Mali,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,24800
2,realme,4,Unisoc,5000,50,8,6.5,2023,Android,12,Mali,LCD,350,90,Yes,Yes,64,Yes,Yes,2,Yes,9000
3,OnePlus,8,Qualcomm,5000,50,16,6.5,2023,Android,4,Adreno,AMOLED,450,120,Yes,Yes,128,No,No,2,Yes,40000
4,POCO,8,Qualcomm,5000,64,16,6.5,2023,Android,4,Adreno,AMOLED,350,120,Yes,Yes,256,No,Yes,2,Yes,30000
5,Samsung,8,Samsung,4500,12,32,6.5,2022,Android,5,Mali,AMOLED,400,120,Yes,Yes,128,No,No,2,Yes,33200
6,realme,4,MediaTek,5000,64,8,6.5,2023,Android,12,Mali,LCD,350,90,Yes,Yes,64,Yes,Yes,2,Yes,11000
7,vivo,4,MediaTek,5000,50,8,6.5,2023,Android,7,Mali,LCD,400,60,Yes,Yes,128,Yes,Yes,2,Yes,13000
8,realme,6,Qualcomm,5000,108,16,6.5,2022,Android,6,Adreno,LCD,350,120,Yes,Yes,128,Yes,Yes,2,Yes,19000
9,Samsung,8,Samsung,5000,50,32,6.5,2023,Android,5,Mali,AMOLED,400,120,Yes,Yes,128,Yes,No,2,Yes,36000
10,vivo,6,Qualcomm,4500,64,16,6.5,2023,Android,6,Adreno,AMOLED,400,90,Yes,Yes,128,Yes,Yes,2,Yes,19000
11,iQOO,6,MediaTek,4500,64,16,6.5,2023,Android,6,Mali,AMOLED,400,90,Yes,Yes,128,Yes,Yes,2,Yes,19000
12,Samsung,12,Qualcomm,5000,200,12,7.0,2023,Android,4,Adreno,AMOLED,500,120,Yes,Yes,256,No,No,2,Yes,125000
13,Xiaomi,6,MediaTek,5000,50,16,6.5,2023,Android,6,Mali,AMOLED,350,120,Yes,Yes,128,No,Yes,2,Yes,23700
14,Xiaomi,4,Qualcomm,5000,48,13,6.5,2023,Android,6,Adreno,AMOLED,350,120,Yes,Yes,128,Yes,Yes,2,Yes,17000
15,Samsung,4,Samsung,5000,50,13,6.5,2023,Android,5,Mali,LCD,400,90,Yes,Yes,64,Yes,Yes,2,Yes,16000
16,realme,4,MediaTek,5000,50,16,6.5,2023,Android,6,Mali,AMOLED,400,90,Yes,Yes,64,Yes,Yes,2,Yes,12500
17,iQOO,8,MediaTek,5000,64,16,7.0,2023,Android,4,Mali,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,29000
18,realme,6,Qualcomm,5000,64,16,6.5,2022,Android,7,Adreno,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,23000
19,realme,4,MediaTek,5000,64,8,6.5,2023,Android,12,Mali,LCD,350,90,Yes,Yes,64,Yes,Yes,2,Yes,11000
20,vivo,8,MediaTek,4500,50,50,7.0,2023,Android,4,Mali,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,38000
21,vivo,8,MediaTek,4500,50,50,7.0,2023,Android,4,Mali,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,33000
22,iQOO,8,Qualcomm,4500,64,16,6.5,2022,Android,7,Adreno,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,25000
23,OnePlus,8,MediaTek,4500,50,32,6.5,2022,Android,6,Mali,AMOLED,400,90,Yes,Yes,128,No,No,2,Yes,29000
24,Xiaomi,8,MediaTek,5000,200,16,6.5,2023,Android,6,Mali,AMOLED,350,120,Yes,Yes,256,No,Yes,2,Yes,30000
25,OnePlus,8,Qualcomm,5000,50,16,6.5,2023,Android,4,Adreno,AMOLED,500,120,Yes,Yes,128,No,No,2,Yes,57000
26,Apple,6,Apple,4500,48,12,6.5,2022,iOS,4,Apple,OLED,450,120,Yes,No,128,No,No,2,No,128000
27,OnePlus,6,Qualcomm,5000,64,16,6.5,2022,Android,6,Adreno,LCD,400,120,Yes,Yes,128,Yes,Yes,2,Yes,18000
28,Samsung,4,Samsung,6000,50,13,6.5,2023,Android,5,Mali,LCD,400,90,Yes,Yes,128,Yes,Yes,2,Yes,13500
